global_factor,local_factor,v_max,best_ind,avg_ind,fitness_calls,total_time
3.5,1.0,1.0,0.644,0.643,99,55.799
3.5,1.0,3.25,0.643,0.527,100,55.877
3.5,1.0,5.5,0.641,0.64,96,56.091
3.5,1.0,7.75,0.643,0.625,95,57.4
3.5,1.0,10.0,0.643,0.572,80,56.563
4.75,1.0,1.0,0.638,0.638,83,56.002
4.75,1.0,3.25,0.637,0.637,83,56.157
4.75,1.0,5.5,0.643,0.639,97,56.248
4.75,1.0,7.75,0.643,0.624,98,56.229
4.75,1.0,10.0,0.64,0.64,76,59.779
6.0,1.0,1.0,0.635,0.635,87,54.853
6.0,1.0,3.25,0.635,0.635,55,55.668
6.0,1.0,5.5,0.63,0.63,66,58.227
6.0,1.0,7.75,0.627,0.627,63,57.464
6.0,1.0,10.0,0.638,0.638,100,56.65
2.25,2.25,1.0,0.643,0.642,94,56.255
2.25,2.25,3.25,0.64,0.637,87,57.1
2.25,2.25,5.5,0.644,0.561,100,57.226
2.25,2.25,7.75,0.643,0.509,100,57.078
2.25,2.25,10.0,0.643,0.611,100,56.789
3.5,2.25,1.0,0.638,0.634,88,55.295
3.5,2.25,3.25,0.636,0.636,87,55.716
3.5,2.25,5.5,0.641,0.598,100,57.521
3.5,2.25,7.75,0.642,0.579,78,57.045
3.5,2.25,10.0,0.633,0.632,100,56.12
4.75,2.25,1.0,0.633,0.629,100,54.353
4.75,2.25,3.25,0.638,0.638,100,55.564
4.75,2.25,5.5,0.636,0.636,100,56.418
4.75,2.25,7.75,0.634,0.634,100,55.84
4.75,2.25,10.0,0.636,0.636,100,57.643
6.0,2.25,1.0,0.631,0.631,94,55.553
6.0,2.25,3.25,0.634,0.634,87,56.487
6.0,2.25,5.5,0.632,0.632,99,56.163
6.0,2.25,7.75,0.631,0.631,94,57.346
6.0,2.25,10.0,0.633,0.629,65,57.787
1.0,3.5,1.0,0.639,0.553,100,59.375
1.0,3.5,3.25,0.638,0.577,100,57.708
1.0,3.5,5.5,0.633,0.55,100,59.563
1.0,3.5,7.75,0.636,0.526,100,61.228
1.0,3.5,10.0,0.643,0.553,100,60.153
2.25,3.5,1.0,0.635,0.53,100,57.671
2.25,3.5,3.25,0.628,0.557,100,57.703
2.25,3.5,5.5,0.635,0.547,100,58.488
2.25,3.5,7.75,0.631,0.564,99,57.689
2.25,3.5,10.0,0.63,0.543,100,58.313
3.5,3.5,1.0,0.63,0.548,99,58.291
3.5,3.5,3.25,0.629,0.553,99,56.817
3.5,3.5,5.5,0.634,0.557,100,57.664
3.5,3.5,7.75,0.636,0.599,99,56.818
3.5,3.5,10.0,0.622,0.57,99,57.819
4.75,3.5,1.0,0.627,0.616,90,56.752
4.75,3.5,3.25,0.635,0.604,99,56.416
4.75,3.5,5.5,0.63,0.582,100,56.565
4.75,3.5,7.75,0.631,0.577,99,57.511
4.75,3.5,10.0,0.628,0.557,99,58.039
6.0,3.5,1.0,0.631,0.631,96,57.257
6.0,3.5,3.25,0.633,0.603,64,56.586
6.0,3.5,5.5,0.628,0.606,52,59.188
6.0,3.5,7.75,0.634,0.555,100,57.658
6.0,3.5,10.0,0.628,0.606,90,57.182
1.0,4.75,1.0,0.627,0.516,77,59.852
1.0,4.75,3.25,0.628,0.512,77,61.217
1.0,4.75,5.5,0.625,0.515,100,59.961
1.0,4.75,7.75,0.627,0.519,77,59.696
1.0,4.75,10.0,0.63,0.516,93,60.288
2.25,4.75,1.0,0.63,0.534,78,58.536
2.25,4.75,3.25,0.631,0.523,11,58.555
2.25,4.75,5.5,0.628,0.534,52,58.56
2.25,4.75,7.75,0.628,0.545,99,59.028
2.25,4.75,10.0,0.629,0.544,97,59.14
3.5,4.75,1.0,0.629,0.55,96,58.152
3.5,4.75,3.25,0.629,0.551,100,58.21
3.5,4.75,5.5,0.627,0.532,100,58.031
3.5,4.75,7.75,0.627,0.537,99,58.736
3.5,4.75,10.0,0.628,0.558,100,58.623
4.75,4.75,1.0,0.628,0.546,100,58.129
4.75,4.75,3.25,0.629,0.56,95,58.226
4.75,4.75,5.5,0.626,0.58,100,58.452
4.75,4.75,7.75,0.622,0.555,52,59.022
4.75,4.75,10.0,0.626,0.552,100,58.117
6.0,4.75,1.0,0.627,0.563,100,57.353
6.0,4.75,3.25,0.627,0.55,99,57.515
6.0,4.75,5.5,0.629,0.589,100,57.164
6.0,4.75,7.75,0.628,0.557,53,57.317
6.0,4.75,10.0,0.63,0.57,99,58.129
1.0,6.0,1.0,0.622,0.508,78,60.178
1.0,6.0,3.25,0.626,0.508,100,60.194
1.0,6.0,5.5,0.63,0.51,99,59.974
1.0,6.0,7.75,0.629,0.507,99,60.144
1.0,6.0,10.0,0.624,0.507,99,60.686
2.25,6.0,1.0,0.627,0.524,99,59.007
2.25,6.0,3.25,0.627,0.52,78,58.963
2.25,6.0,5.5,0.63,0.519,99,59.01
2.25,6.0,7.75,0.629,0.517,99,59.204
2.25,6.0,10.0,0.629,0.524,78,59.779
3.5,6.0,1.0,0.626,0.536,99,57.919
3.5,6.0,3.25,0.628,0.532,99,58.426
3.5,6.0,5.5,0.628,0.526,78,58.08
3.5,6.0,7.75,0.628,0.541,99,58.292
3.5,6.0,10.0,0.627,0.539,98,58.551
4.75,6.0,1.0,0.625,0.535,24,57.903
4.75,6.0,3.25,0.628,0.541,99,58.301
4.75,6.0,5.5,0.632,0.532,99,58.466
4.75,6.0,7.75,0.633,0.545,99,58.2
4.75,6.0,10.0,0.626,0.557,78,58.435
6.0,6.0,1.0,0.63,0.556,90,57.861
6.0,6.0,3.25,0.628,0.561,99,58.03
6.0,6.0,5.5,0.633,0.55,75,57.82
6.0,6.0,7.75,0.626,0.532,90,58.118
6.0,6.0,10.0,0.622,0.558,90,59.062
